taskId;task;startTime;endTime;duration;steps
0;;00:00:17;00:00:30;00:00:12;15
0;;00:00:05;00:00:07;00:00:02;0
0;;00:00:05;00:00:07;00:00:02;0
0;;00:00:05;00:00:08;00:00:03;0
0;;00:00:05;00:00:30;00:00:25;3
0;;00:00:05;00:00:09;00:00:04;0
0;;00:00:05;00:00:09;00:00:03;0
0;;00:00:13;00:00:17;00:00:03;0
